,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
M_pred[43],0.08525,0.00467701,0.291554,0.0,0.0,1.0,3885.99,965.944,1.00003
M_pred[44],0.083,0.00454001,0.290916,0.0,0.0,1.0,4106.03,1020.64,0.999979
M_pred[45],0.074,0.00432838,0.272108,0.0,0.0,1.0,3952.12,982.381,0.99954
M_pred[46],0.08325,0.00456442,0.28695,0.0,0.0,1.0,3952.21,982.403,0.999624
M_pred[47],0.0825,0.00453207,0.291916,0.0,0.0,1.0,4148.81,1031.27,0.999883
M_pred[48],0.08675,0.00458881,0.291969,0.0,0.0,1.0,4048.3,1006.29,0.999763
M_pred[49],0.0805,0.00478201,0.286427,0.0,0.0,1.0,3587.62,891.777,0.999416
M_pred[50],0.047,0.00356641,0.217492,0.0,0.0,0.0,3718.99,924.433,1.0018
M_pred[51],0.03775,0.00327741,0.194511,0.0,0.0,0.0,3522.29,875.538,0.999852
M_pred[52],0.088,0.00484435,0.297116,0.0,0.0,1.0,3761.69,935.045,0.999627
M_pred[53],0.08175,0.00458753,0.282996,0.0,0.0,1.0,3805.44,945.92,1.00034
M_pred[54],0.04775,0.00346415,0.219048,0.0,0.0,0.0,3998.38,993.879,0.999279
M_pred[55],0.09025,0.00471303,0.297703,0.0,0.0,1.0,3989.94,991.781,1.00121
M_pred[56],0.0435,0.00332634,0.20765,0.0,0.0,0.0,3897.0,968.679,0.999513
M_pred[57],0.04475,0.00348563,0.213913,0.0,0.0,0.0,3766.29,936.189,1.00034
M_pred[58],0.04075,0.00324981,0.20396,0.0,0.0,0.0,3938.91,979.098,1.0013
M_pred[59],0.0385,0.0030628,0.192424,0.0,0.0,0.0,3947.12,981.138,0.999829
M_pred[60],0.0425,0.00336881,0.205437,0.0,0.0,0.0,3718.8,924.386,1.00066
M_pred[61],0.0455,0.00337234,0.215503,0.0,0.0,0.0,4083.58,1015.06,0.999562
M_pred[62],0.0435,0.00338217,0.211232,0.0,0.0,0.0,3900.57,969.568,0.99988
M_pred[63],0.045,0.00332995,0.215608,0.0,0.0,0.0,4192.3,1042.08,1.00002
M_pred[64],0.046,0.00326642,0.214232,0.0,0.0,0.0,4301.56,1069.24,0.999722
M_pred[65],0.04525,0.00336041,0.211456,0.0,0.0,0.0,3959.63,984.248,0.999727
M_pred[66],0.04725,0.00355224,0.220294,0.0,0.0,0.0,3845.94,955.988,0.999635
M_pred[67],0.0415,0.00321288,0.20196,0.0,0.0,0.0,3951.32,982.183,0.999374
M_pred[68],0.04775,0.00366232,0.220186,0.0,0.0,0.0,3614.66,898.499,1.00165
M_pred[69],0.0435,0.00338643,0.210045,0.0,0.0,0.0,3847.16,956.292,0.999657
M_pred[70],0.04325,0.00318617,0.20467,0.0,0.0,0.0,4126.4,1025.7,1.00001
M_pred[71],0.04825,0.00361265,0.224576,0.0,0.0,0.0,3864.36,960.567,0.99956
M_pred[72],0.05175,0.0036105,0.230402,0.0,0.0,0.0,4072.28,1012.25,1.00101
M_pred[73],0.04125,0.00343688,0.205083,0.0,0.0,0.0,3560.66,885.076,1.00122
M_pred[74],0.04575,0.00337519,0.214869,0.0,0.0,0.0,4052.73,1007.39,0.999996
M_pred[75],0.048,0.00348111,0.218421,0.0,0.0,0.0,3936.91,978.601,1.00015
M_pred[76],0.0505,0.00353422,0.223522,0.0,0.0,0.0,3999.96,994.272,1.00047
M_pred[77],0.0465,0.00343342,0.215289,0.0,0.0,0.0,3931.78,977.325,1.00003
M_pred[78],0.0445,0.00338777,0.209835,0.0,0.0,0.0,3836.44,953.626,0.999996
M_pred[79],0.0465,0.00353483,0.216447,0.0,0.0,0.0,3749.45,932.004,1.00019
M_pred[80],0.05075,0.00346332,0.225138,0.0,0.0,0.0,4225.82,1050.42,0.999991
M_pred[81],0.0475,0.00350992,0.217383,0.0,0.0,0.0,3835.83,953.474,0.999916
M_pred[82],0.04775,0.00346517,0.217903,0.0,0.0,0.0,3954.38,982.943,0.999751
M_pred[83],0.046,0.00337661,0.215396,0.0,0.0,0.0,4069.26,1011.5,1.00045
M_pred[84],0.047,0.00358948,0.216339,0.0,0.0,0.0,3632.52,902.937,0.99994
M_pred[85],0.0425,0.00328331,0.207857,0.0,0.0,0.0,4007.81,996.223,0.999975
M_pred[86],0.04475,0.00339753,0.216239,0.0,0.0,0.0,4050.79,1006.91,1.00017
M_pred[87],0.051,0.00352171,0.226742,0.0,0.0,0.0,4145.3,1030.4,0.999833
M_pred[88],0.05425,0.00376158,0.233068,0.0,0.0,1.0,3839.04,954.273,1.00015
M_pred[89],0.036,0.00298243,0.186313,0.0,0.0,0.0,3902.55,970.061,1.00014
M_pred[90],0.04875,0.00367679,0.226685,0.0,0.0,0.0,3801.1,944.841,0.999243
M_pred[91],0.03775,0.0030462,0.19833,0.0,0.0,0.0,4238.97,1053.68,0.999616
M_pred[92],0.051,0.00368934,0.227842,0.0,0.0,0.0,3813.91,948.025,1.00006
M_pred[93],0.04575,0.00342835,0.220611,0.0,0.0,0.0,4140.78,1029.28,1.00148
M_pred[94],0.0405,0.00324121,0.200922,0.0,0.0,0.0,3842.75,955.195,0.999647
M_pred[95],0.05125,0.00360676,0.232674,0.0,0.0,0.0,4161.59,1034.45,0.999178
M_pred[96],0.04075,0.00318255,0.201493,0.0,0.0,0.0,4008.4,996.37,1.00015
M_pred[97],0.04575,0.00344314,0.211348,0.0,0.0,0.0,3767.81,936.567,0.999811
M_pred[98],0.0405,0.00312407,0.200922,0.0,0.0,0.0,4136.33,1028.17,1.00078
M_pred[99],0.0455,0.00349878,0.21666,0.0,0.0,0.0,3834.64,953.179,0.999703
M_pred[100],0.039,0.00309155,0.197456,0.0,0.0,0.0,4079.31,1014.0,1.00063
M_pred[101],0.045,0.0034338,0.2121,0.0,0.0,0.0,3815.3,948.373,1.00011
M_pred[102],0.045,0.00345233,0.214445,0.0,0.0,0.0,3858.39,959.084,1.00039
M_pred[103],0.04075,0.00315218,0.202731,0.0,0.0,0.0,4136.34,1028.17,1.00075
M_pred[104],0.0415,0.00328893,0.203195,0.0,0.0,0.0,3816.94,948.781,0.999785
M_pred[105],0.04875,0.00360954,0.224468,0.0,0.0,0.0,3867.29,961.295,1.00075
M_pred[106],0.0515,0.00361458,0.228825,0.0,0.0,0.0,4007.65,996.185,1.00073
M_pred[107],0.0435,0.00335576,0.208851,0.0,0.0,0.0,3873.38,962.809,1.00077
M_pred[108],0.045,0.00333087,0.210917,0.0,0.0,0.0,4009.67,996.686,0.999938
M_pred[109],0.043,0.0031967,0.208954,0.0,0.0,0.0,4272.67,1062.06,0.999588
M_pred[110],0.041,0.00328403,0.208158,0.0,0.0,0.0,4017.66,998.674,0.999408
M_pred[111],0.04625,0.0033674,0.215923,0.0,0.0,0.0,4111.57,1022.02,1.0009
M_pred[112],0.046,0.00333835,0.214232,0.0,0.0,0.0,4118.2,1023.66,1.00011
M_pred[113],0.043,0.00329411,0.207754,0.0,0.0,0.0,3977.62,988.719,0.99986
M_pred[114],0.08375,0.00458513,0.290271,0.0,0.0,1.0,4007.77,996.214,1.00017
M_pred[115],0.03825,0.00307472,0.195695,0.0,0.0,0.0,4050.87,1006.93,0.999648
M_pred[116],0.05025,0.00364569,0.228556,0.0,0.0,0.0,3930.31,976.961,1.00091
M_pred[117],0.04725,0.00358366,0.219156,0.0,0.0,0.0,3739.86,929.619,0.999546
M_pred[118],0.04375,0.00328694,0.206994,0.0,0.0,0.0,3965.82,985.787,1.00061
M_pred[119],0.0865,0.00467457,0.297557,0.0,0.0,1.0,4051.86,1007.17,1.00007
M_pred[120],0.046,0.00350279,0.216554,0.0,0.0,0.0,3822.12,950.067,0.999682
M_pred[121],0.097,0.00484211,0.312435,0.0,0.0,1.0,4163.4,1034.9,0.99986
M_pred[122],0.04275,0.00330747,0.208407,0.0,0.0,0.0,3970.36,986.915,1.00119
M_pred[123],0.04275,0.00328758,0.209603,0.0,0.0,0.0,4064.83,1010.4,0.999727
M_pred[124],0.042,0.00326831,0.207959,0.0,0.0,0.0,4048.61,1006.37,1.0012
